Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,ID,Venue,Venue Latitude,Venue Longitude,Venue Category,Postal Code,Borough,Cluster_Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,Theme
Parkwoods,43.7532586,-79.3296565,4b8991cbf964a520814232e3,Allwyn's Bakery,43.759840352031574,-79.32471879917513,Caribbean Restaurant,M3A,North York,2,Park,Convenience Store,Bus Stop,Pharmacy,Shopping Mall,Gourmet Mall
Parkwoods,43.7532586,-79.3296565,58a8dcaa6119f47b9a94dc05,A&W,43.760643076161315,-79.3268649067081,Fast Food Restaurant,M3A,North York,2,Park,Convenience Store,Bus Stop,Pharmacy,Shopping Mall,Gourmet Mall
Parkwoods,43.7532586,-79.3296565,4c0150f4716bc9b65b9dbb55,Spicy Chicken House,43.76063939666398,-79.3256706077173,Chinese Restaurant,M3A,North York,2,Park,Convenience Store,Bus Stop,Pharmacy,Shopping Mall,Gourmet Mall
Victoria Village,43.725882299999995,-79.31557159999998,4f3ecce6e4b0587016b6f30d,Portugril,43.725818762672425,-79.31278541470671,Portuguese Restaurant,M4A,North York,1,Coffee Shop,Men's Store,Grocery Store,Portuguese Restaurant,Sporting Goods Shop,Mid-work Boost
Victoria Village,43.725882299999995,-79.31557159999998,4d689350b6f46dcb77ee15b2,The Frig,43.72705130603407,-79.3174176090868,French Restaurant,M4A,North York,1,Coffee Shop,Men's Store,Grocery Store,Portuguese Restaurant,Sporting Goods Shop,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,5612b1cc498e3dd742af0dc8,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,57e0745a498ea809dbf75f68,Souk Tabule,43.65375556880743,-79.35439006096169,Mediterranean Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,53a22c92498ec91fda7ce133,Cluny Bistro & Boulangerie,43.650565116074695,-79.35784287026658,French Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ad776eef964a520e20a21e3,Mangia and Bevi Resto-Bar,43.652249517927686,-79.36635530500347,Italian Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,51ddecee498e1ffd34185d2f,El Catrin,43.650600737117,-79.35892024942333,Mexican Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ada57aff964a520972121e3,Sukhothai,43.65844446553953,-79.36568085121628,Thai Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,4cbdc6784495721ea262617a,Fusaro's,43.653346798266185,-79.3695173175514,Italian Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,561ffc99498e1468dac63cdd,Schnitzel Queen,43.65423906004429,-79.37053284604036,German Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,56423155498e78e89181cb44,Cluck Clucks,43.64964842651325,-79.3664078057654,Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,505bacb2e4b0474d876eb78c,Paintbox Bistro,43.66005047590362,-79.36285470971839,Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,4b72f550f964a5202e922de3,Mystic Muffin,43.652483550499326,-79.37265472845176,Middle Eastern Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ee1490961aff90fe37e76da,Qi sushi,43.662551807626976,-79.36425843422569,Sushi Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,59cd8a18e179105e08f003c6,Sukhothai,43.653700903664294,-79.35444653590791,Thai Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,4adc95f3f964a520912d21e3,Sushi Bar,43.65879825022111,-79.35008516753265,Sushi Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,52af6dc5498e33995b0bbf03,Sultan Of Samosas,43.660227497874445,-79.36622571571063,Indian Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Regent Park, Harbourfront",43.6542599,-79.3606359,548bb041498eff940205b644,King's Place647-352-0786,43.658278219451866,-79.37092509166455,Pakistani Restaurant,M5A,Downtown Toronto,1,Coffee Shop,Pub,Diner,Theater,Café,Mid-work Boost
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4ccc5aebee23a14370591ea8,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Vietnamese Restaurant,M6A,North York,1,Fast Food Restaurant,Clothing Store,Coffee Shop,Accessories Store,Vietnamese Restaurant,Mid-work Boost
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4b5f1f11f964a52047a729e3,Yuki Japanese Restaurant,43.72060971477955,-79.45611946822187,Sushi Restaurant,M6A,North York,1,Fast Food Restaurant,Clothing Store,Coffee Shop,Accessories Store,Vietnamese Restaurant,Mid-work Boost
