Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,ID,Venue,Venue Latitude,Venue Longitude,Venue Category
Parkwoods,43.7532586,-79.3296565,4b8991cbf964a520814232e3,Allwyn's Bakery,43.75984035203157,-79.32471879917513,Caribbean Restaurant
Parkwoods,43.7532586,-79.3296565,4e8d9dcdd5fbbbb6b3003c7b,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
Parkwoods,43.7532586,-79.3296565,57e286f2498e43d84d92d34a,Tim Hortons,43.76066827030228,-79.32636763515987,Café
Parkwoods,43.7532586,-79.3296565,58a8dcaa6119f47b9a94dc05,A&W,43.760643076161315,-79.3268649067081,Fast Food Restaurant
Parkwoods,43.7532586,-79.3296565,4bafa285f964a5203a123ce3,Bruno's valu-mart,43.746143,-79.32463,Grocery Store
Parkwoods,43.7532586,-79.3296565,4c422e48e26920a1a4ad5fe7,Shoppers Drug Mart,43.76085733239677,-79.32496051573521,Pharmacy
Parkwoods,43.7532586,-79.3296565,4b845f3ff964a520733131e3,High Street Fish & Chips,43.74525988387223,-79.3249491573105,Fish & Chips Shop
Parkwoods,43.7532586,-79.3296565,4fb699dd7bebbeb2a6c7badb,Shoppers Drug Mart,43.745315,-79.3258,Pharmacy
Parkwoods,43.7532586,-79.3296565,4b26adc3f964a5205f7f24e3,Food Basics,43.76054899113784,-79.32604520023006,Supermarket
Parkwoods,43.7532586,-79.3296565,4b5f7253f964a520d7ba29e3,Pizza Pizza,43.76023098701761,-79.32566642761229,Pizza Place
Parkwoods,43.7532586,-79.3296565,4cb11e2075ebb60cd1c4caad,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink Shop
Parkwoods,43.7532586,-79.3296565,4ebdd5a077c885a64d8b3b07,DVP at York Mills,43.758898765048286,-79.3340989154166,Road
Parkwoods,43.7532586,-79.3296565,4e45173c7d8bee2823a4e857,TTC Stop #09083,43.75965484896959,-79.33222296778834,Bus Stop
Parkwoods,43.7532586,-79.3296565,4e46fbfc18a8f9804cd0eea9,TTC Stop 9083,43.7592505419922,-79.33399989273362,Bus Stop
Parkwoods,43.7532586,-79.3296565,4de4dc58e4cd056f747bbaef,Sandover Park,43.76027747979718,-79.33330535888672,Park
Parkwoods,43.7532586,-79.3296565,4bc73576af07a59300b07e2d,TTC Stop #9075,43.75759633714484,-79.33815479278564,Train Station
Parkwoods,43.7532586,-79.3296565,55bbdfb9498e5996dd9d4038,Dollarama,43.760341,-79.325519,Discount Store
Parkwoods,43.7532586,-79.3296565,4c437dd1f0bdd13ad34ec8cc,Parkwoods Coin Laundry,43.76038596280906,-79.32489395141602,Laundry Service
Parkwoods,43.7532586,-79.3296565,4c0150f4716bc9b65b9dbb55,Spicy Chicken House,43.76063939666398,-79.32567060771729,Chinese Restaurant
Parkwoods,43.7532586,-79.3296565,4b87107cf964a5207fae31e3,La Notre,43.76070416249771,-79.32539551954271,Coffee Shop
Parkwoods,43.7532586,-79.3296565,4dfa9d30a8096fbd6be4a257,Underhill Mini Mart Convenience,43.74583602808115,-79.32483508046442,Convenience Store
Parkwoods,43.7532586,-79.3296565,4f5930bfe4b030058495a752,Parkwoods Village Centre,43.760735,-79.324873,Shopping Mall
Parkwoods,43.7532586,-79.3296565,4de41ec28877bcb6866ca329,Family Food Fair Convenience,43.760619989690674,-79.32445934492416,Convenience Store
Parkwoods,43.7532586,-79.3296565,5197f208498e8a6befd6f0b2,Parkway Valley Tennis Club,43.754481101445634,-79.31828498840332,Tennis Court
Parkwoods,43.7532586,-79.3296565,4ba3f539f964a5208e7138e3,Broadlands Park,43.74674606903112,-79.32250154263845,Park
Parkwoods,43.7532586,-79.3296565,4c363e130a71c9b62ccb3cc9,Nail Princess,43.74538936918936,-79.32561559014736,Cosmetics Shop
Parkwoods,43.7532586,-79.3296565,4e18a5301f6eb955987c4f6b,Donwood Variety,43.745500799115305,-79.32492236598165,Shop & Service
Parkwoods,43.7532586,-79.3296565,4e00c609d1647696f121444a,Donwood Plaza,43.7453692118077,-79.3254347372363,Shopping Mall
Victoria Village,43.7258823,-79.31557159999998,4c633acb86b6be9a61268e34,Victoria Village Arena,43.72348055545508,-79.31563520925143,Hockey Arena
Victoria Village,43.7258823,-79.31557159999998,4f3ecce6e4b0587016b6f30d,Portugril,43.72581876267242,-79.31278541470671,Portuguese Restaurant
Victoria Village,43.7258823,-79.31557159999998,4bbe904a85fbb713420d7167,Tim Hortons,43.725516631714754,-79.31310251366091,Coffee Shop
Victoria Village,43.7258823,-79.31557159999998,4d689350b6f46dcb77ee15b2,The Frig,43.72705130603407,-79.31741760908679,French Restaurant
Victoria Village,43.7258823,-79.31557159999998,4b8fe578f964a520106833e3,Pizza Nova,43.725823726352196,-79.31286041792907,Pizza Place
Victoria Village,43.7258823,-79.31557159999998,4b4fdb9af964a520c21727e3,Flemingdon Park Golf Course,43.72230988036648,-79.32668919449756,Golf Course
Victoria Village,43.7258823,-79.31557159999998,571e75c0498ead458f6df160,JJ Bean,43.720229,-79.313561,Café
Victoria Village,43.7258823,-79.31557159999998,4b609d8df964a52068f029e3,Tim Hortons,43.7270816,-79.327143,Coffee Shop
Victoria Village,43.7258823,-79.31557159999998,4d7fa886263c530ce274be76,Fitness Depot,43.719732920431674,-79.31401716097572,Sporting Goods Shop
Victoria Village,43.7258823,-79.31557159999998,5b03411cc84d180024c74c39,Marcheleos Marketplace,43.727623,-79.326415,Grocery Store
Victoria Village,43.7258823,-79.31557159999998,4afed161f964a5209f3022e3,Freeman Formal Wear,43.71755636140195,-79.3134339002133,Men's Store
Victoria Village,43.7258823,-79.31557159999998,4cbe2871ca4aa1cd1ca612b4,Tridel Accolade Gym,43.72440273385244,-79.32778875944257,Gym / Fitness Center
"Regent Park, Harbourfront",43.6542599,-79.3606359,54ea41ad498e9a11e9e13308,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
"Regent Park, Harbourfront",43.6542599,-79.3606359,53b8466a498e83df908c3f21,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.3606359,5612b1cc498e3dd742af0dc8,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,4ad4c05ef964a520bff620e3,The Distillery Historic District,43.65024435658077,-79.35932278633118,Historic Site
